#     FILENAME=!Skynet_57528_lach-cc-215_20624_21044.cyb.fits
#     BASENAME=Skynet_57528_lach-cc-215_20624_21044
#     SRC_NAME=lach-cc-215
#     OBSERVER=ccmadison16_9505
#     DATE_OBS=2016-05-20T20:04:52.680
#        OBSID=20624
#      SCANNUM=21044
#          MJD=57528.8378
#          UTC=72381
#     SCANTYPE=track
#     DATAMODE=HIRES
#     TUNEFREQ=1420.0000
# Actual_FREQ1=1420.0000
# Actual_FREQ2=1420.0000
#    LO1Tuning=6870.000
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#        NCHAN=1024 
#        FOCUS=37.0270
#           RA=06:55:12.83
#          DEC=-01:50:25.41
#      RA(hrs)=6.920200
#     DEC(deg)=-1.840400
#    AZIM(deg)=173.740
#    ELEV(deg)=49.409
#     IFattens=10.00, 9.00
#      WARNING=None
#    TCAL_XL1=7.9635
#    TCAL_YR1=9.1340
#    TCAL_XL2=7.9635
#    TCAL_YR2=9.1340
#     TRX_XL1=11.7060
#     TRX_YR1=11.7060
#     TRX_XL2=11.7060
#     TRX_YR2=11.7060
#        TAVE=1.0000
#Freq1(MHz)          XL1          YR1  Freq2(MHz)          XL2          YR2 

   1427.81250     352.8850     258.9982   1427.81250     352.8850     258.9982
   1427.79724     354.1191     259.3776   1427.79724     354.1191     259.3776
   1427.78198     354.1875     260.0589   1427.78198     354.1875     260.0589
   1427.76672     354.6078     260.9411   1427.76672     354.6078     260.9411
   1427.75146     355.7297     261.4354   1427.75146     355.7297     261.4354
   1427.73621     356.3575     261.9810   1427.73621     356.3575     261.9810
   1427.72095     357.5829     262.3719   1427.72095     357.5829     262.3719
   1427.70569     358.8797     263.5185   1427.70569     358.8797     263.5185
   1427.69043     358.8890     264.1204   1427.69043     358.8890     264.1204
   1427.67517     359.9693     265.2178   1427.67517     359.9693     265.2178
   1427.65991     361.6705     266.0712   1427.65991     361.6705     266.0712
   1427.64465     362.8678     266.6331   1427.64465     362.8678     266.6331
   1427.62939     364.2425     267.8821   1427.62939     364.2425     267.8821
   1427.61414     364.6280     268.5807   1427.61414     364.6280     268.5807
   1427.59888     366.4007     269.7593   1427.59888     366.4007     269.7593
   1427.58362     367.9959     270.6201   1427.58362     367.9959     270.6201
   1427.56836     368.6827     271.8355   1427.56836     368.6827     271.8355
   1427.55310     370.4395     273.0624   1427.55310     370.4395     273.0624
   1427.53784     372.0489     274.0775   1427.53784     372.0489     274.0775
   1427.52258     373.8661     275.5943   1427.52258     373.8661     275.5943
   1427.50732     374.9097     276.9558   1427.50732     374.9097     276.9558
   1427.49207     375.6189     278.1129   1427.49207     375.6189     278.1129
   1427.47681     377.7161     278.7339   1427.47681     377.7161     278.7339
   1427.46155     379.8146     280.4671   1427.46155     379.8146     280.4671
   1427.44629     381.1965     281.5067   1427.44629     381.1965     281.5067
   1427.43103     382.1953     283.3076   1427.43103     382.1953     283.3076
   1427.41577     385.1606     284.7330   1427.41577     385.1606     284.7330
   1427.40051     386.3195     286.4741   1427.40051     386.3195     286.4741
   1427.38525     387.7279     288.0736   1427.38525     387.7279     288.0736
   1427.37000     390.8527     289.2947   1427.37000     390.8527     289.2947
   1427.35474     392.3384     290.7264   1427.35474     392.3384     290.7264
   1427.33948     394.4326     292.1949   1427.33948     394.4326     292.1949
   1427.32422     396.1926     294.1992   1427.32422     396.1926     294.1992
   1427.30896     398.1431     295.8879   1427.30896     398.1431     295.8879
   1427.29370     400.2383     297.6001   1427.29370     400.2383     297.6001
   1427.27844     402.6967     299.0838   1427.27844     402.6967     299.0838
   1427.26318     404.3853     301.3009   1427.26318     404.3853     301.3009
   1427.24792     407.2301     303.2384   1427.24792     407.2301     303.2384
   1427.23267     408.8798     304.4792   1427.23267     408.8798     304.4792
   1427.21741     411.3112     306.6086   1427.21741     411.3112     306.6086
   1427.20215     412.6167     308.0601   1427.20215     412.6167     308.0601
   1427.18689     415.7378     310.2998   1427.18689     415.7378     310.2998
   1427.17163     418.3318     312.0855   1427.17163     418.3318     312.0855
   1427.15637     420.0985     314.3416   1427.15637     420.0985     314.3416
   1427.14111     421.8950     316.3312   1427.14111     421.8950     316.3312
   1427.12585     425.4959     318.3261   1427.12585     425.4959     318.3261
   1427.11060     427.9034     320.1401   1427.11060     427.9034     320.1401
   1427.09534     429.8015     322.4385   1427.09534     429.8015     322.4385
   1427.08008     431.8180     324.2433   1427.08008     431.8180     324.2433
   1427.06482     435.3340     326.1227   1427.06482     435.3340     326.1227
   1427.04956     436.7127     328.2706   1427.04956     436.7127     328.2706
   1427.03430     439.7540     330.2756   1427.03430     439.7540     330.2756
   1427.01904     442.3016     333.1180   1427.01904     442.3016     333.1180
   1427.00378     444.4234     335.0506   1427.00378     444.4234     335.0506
   1426.98853     447.4487     337.5940   1426.98853     447.4487     337.5940
   1426.97327     450.2456     339.8377   1426.97327     450.2456     339.8377
   1426.95801     452.6732     342.0154   1426.95801     452.6732     342.0154
   1426.94275     455.6894     344.3454   1426.94275     455.6894     344.3454
   1426.92749     458.1040     346.6061   1426.92749     458.1040     346.6061
   1426.91223     460.1808     348.8107   1426.91223     460.1808     348.8107
   1426.89697     463.4625     351.4508   1426.89697     463.4625     351.4508
   1426.88171     465.8692     353.0595   1426.88171     465.8692     353.0595
   1426.86646     468.7906     355.6860   1426.86646     468.7906     355.6860
   1426.85120     471.9784     358.5542   1426.85120     471.9784     358.5542
   1426.83594     473.9825     360.5195   1426.83594     473.9825     360.5195
   1426.82068     477.0325     362.7374   1426.82068     477.0325     362.7374
   1426.80542     479.4763     365.4254   1426.80542     479.4763     365.4254
   1426.79016     481.7942     368.5290   1426.79016     481.7942     368.5290
   1426.77490     484.6100     370.2521   1426.77490     484.6100     370.2521
   1426.75964     487.5293     372.7625   1426.75964     487.5293     372.7625
   1426.74438     489.3053     375.2457   1426.74438     489.3053     375.2457
   1426.72913     493.1667     377.2281   1426.72913     493.1667     377.2281
   1426.71387     496.2688     379.9491   1426.71387     496.2688     379.9491
   1426.69861     498.5084     382.7365   1426.69861     498.5084     382.7365
   1426.68335     500.2856     385.6101   1426.68335     500.2856     385.6101
   1426.66809     504.0539     387.9271   1426.66809     504.0539     387.9271
   1426.65283     506.3079     390.2080   1426.65283     506.3079     390.2080
   1426.63757     509.0759     393.0993   1426.63757     509.0759     393.0993
   1426.62231     513.9205     396.4808   1426.62231     513.9205     396.4808
   1426.60706     514.6863     397.7901   1426.60706     514.6863     397.7901
   1426.59180     517.8548     400.5917   1426.59180     517.8548     400.5917
   1426.57654     520.3784     402.5043   1426.57654     520.3784     402.5043
   1426.56128     523.2878     406.1496   1426.56128     523.2878     406.1496
   1426.54602     525.0674     407.3720   1426.54602     525.0674     407.3720
   1426.53076     528.3790     410.0017   1426.53076     528.3790     410.0017
   1426.51550     530.6876     413.3979   1426.51550     530.6876     413.3979
   1426.50024     533.4649     415.5743   1426.50024     533.4649     415.5743
   1426.48499     535.8047     417.4213   1426.48499     535.8047     417.4213
   1426.46973     539.0663     420.7115   1426.46973     539.0663     420.7115
   1426.45447     542.1222     422.3969   1426.45447     542.1222     422.3969
   1426.43921     543.3169     425.4590   1426.43921     543.3169     425.4590
   1426.42395     547.4532     427.7517   1426.42395     547.4532     427.7517
   1426.40869     549.7144     430.3491   1426.40869     549.7144     430.3491
   1426.39343     551.8204     433.3674   1426.39343     551.8204     433.3674
   1426.37817     555.0632     436.3575   1426.37817     555.0632     436.3575
   1426.36292     557.2776     437.8096   1426.36292     557.2776     437.8096
   1426.34766     560.4601     440.2250   1426.34766     560.4601     440.2250
   1426.33240     562.9850     442.7133   1426.33240     562.9850     442.7133
   1426.31714     564.7579     445.5978   1426.31714     564.7579     445.5978
   1426.30188     568.1301     448.4232   1426.30188     568.1301     448.4232
   1426.28662     569.8765     451.4006   1426.28662     569.8765     451.4006
   1426.27136     573.1702     454.1853   1426.27136     573.1702     454.1853
   1426.25610     574.9972     455.7158   1426.25610     574.9972     455.7158
   1426.24084     576.8787     458.1238   1426.24084     576.8787     458.1238
   1426.22559     580.4902     460.7627   1426.22559     580.4902     460.7627
   1426.21033     581.1640     462.9357   1426.21033     581.1640     462.9357
   1426.19507     584.6299     466.6019   1426.19507     584.6299     466.6019
   1426.17981     586.4096     467.7572   1426.17981     586.4096     467.7572
   1426.16455     588.6552     470.2520   1426.16455     588.6552     470.2520
   1426.14929     591.7004     473.4046   1426.14929     591.7004     473.4046
   1426.13403     593.2918     475.4161   1426.13403     593.2918     475.4161
   1426.11877     595.8916     477.4957   1426.11877     595.8916     477.4957
   1426.10352     597.7254     480.4533   1426.10352     597.7254     480.4533
   1426.08826     600.4913     482.8454   1426.08826     600.4913     482.8454
   1426.07300     602.6191     484.2163   1426.07300     602.6191     484.2163
   1426.05774     604.5678     487.3970   1426.05774     604.5678     487.3970
   1426.04248     607.7034     490.2638   1426.04248     607.7034     490.2638
   1426.02722     609.2607     492.1762   1426.02722     609.2607     492.1762
   1426.01196     610.5955     494.5132   1426.01196     610.5955     494.5132
   1425.99670     613.3369     496.7062   1425.99670     613.3369     496.7062
   1425.98145     614.6716     498.9191   1425.98145     614.6716     498.9191
   1425.96619     617.9233     501.2861   1425.96619     617.9233     501.2861
   1425.95093     618.6110     503.4464   1425.95093     618.6110     503.4464
   1425.93567     620.8350     506.3958   1425.93567     620.8350     506.3958
   1425.92041     622.5050     508.1181   1425.92041     622.5050     508.1181
   1425.90515     625.4125     510.0620   1425.90515     625.4125     510.0620
   1425.88989     627.5078     512.1040   1425.88989     627.5078     512.1040
   1425.87463     628.7025     515.3390   1425.87463     628.7025     515.3390
   1425.85938     631.2657     517.1421   1425.85938     631.2657     517.1421
   1425.84412     632.9169     519.3502   1425.84412     632.9169     519.3502
   1425.82886     633.9484     520.7634   1425.82886     633.9484     520.7634
   1425.81360     637.0922     523.3674   1425.81360     637.0922     523.3674
   1425.79834     638.0826     525.2941   1425.79834     638.0826     525.2941
   1425.78308     639.8400     528.4122   1425.78308     639.8400     528.4122
   1425.76782     641.4402     529.9672   1425.76782     641.4402     529.9672
   1425.75256     643.0039     531.5663   1425.75256     643.0039     531.5663
   1425.73730     645.1017     534.1722   1425.73730     645.1017     534.1722
   1425.72205     646.4304     536.5890   1425.72205     646.4304     536.5890
   1425.70679     647.1523     537.1691   1425.70679     647.1523     537.1691
   1425.69153     649.5514     540.5723   1425.69153     649.5514     540.5723
   1425.67627     650.0751     541.3289   1425.67627     650.0751     541.3289
   1425.66101     652.0746     544.0641   1425.66101     652.0746     544.0641
   1425.64575     654.8800     544.7810   1425.64575     654.8800     544.7810
   1425.63049     656.0264     547.7370   1425.63049     656.0264     547.7370
   1425.61523     656.3925     549.4415   1425.61523     656.3925     549.4415
   1425.59998     658.0937     551.8964   1425.59998     658.0937     551.8964
   1425.58472     659.3506     554.5902   1425.58472     659.3506     554.5902
   1425.56946     660.1155     556.0776   1425.56946     660.1155     556.0776
   1425.55420     661.1757     557.3096   1425.55420     661.1757     557.3096
   1425.53894     663.1256     559.1409   1425.53894     663.1256     559.1409
   1425.52368     664.8621     560.5815   1425.52368     664.8621     560.5815
   1425.50842     665.4366     562.6734   1425.50842     665.4366     562.6734
   1425.49316     667.9010     564.5786   1425.49316     667.9010     564.5786
   1425.47791     667.5705     566.8193   1425.47791     667.5705     566.8193
   1425.46265     668.2481     567.4191   1425.46265     668.2481     567.4191
   1425.44739     669.3703     569.4842   1425.44739     669.3703     569.4842
   1425.43213     672.5272     570.7437   1425.43213     672.5272     570.7437
   1425.41687     672.9504     573.7181   1425.41687     672.9504     573.7181
   1425.40161     673.7322     574.4147   1425.40161     673.7322     574.4147
   1425.38635     675.0341     575.3283   1425.38635     675.0341     575.3283
   1425.37109     675.2400     578.5649   1425.37109     675.2400     578.5649
   1425.35583     676.0244     579.4847   1425.35583     676.0244     579.4847
   1425.34058     677.2519     580.8668   1425.34058     677.2519     580.8668
   1425.32532     678.6295     582.6523   1425.32532     678.6295     582.6523
   1425.31006     679.1652     584.3074   1425.31006     679.1652     584.3074
   1425.29480     680.4727     585.7844   1425.29480     680.4727     585.7844
   1425.27954     680.7880     587.5100   1425.27954     680.7880     587.5100
   1425.26428     681.3884     588.6953   1425.26428     681.3884     588.6953
   1425.24902     682.2065     589.3628   1425.24902     682.2065     589.3628
   1425.23376     683.4304     591.5691   1425.23376     683.4304     591.5691
   1425.21851     683.4934     593.5322   1425.21851     683.4934     593.5322
   1425.20325     684.9498     594.0277   1425.20325     684.9498     594.0277
   1425.18799     686.4355     595.9666   1425.18799     686.4355     595.9666
   1425.17273     686.7998     596.5004   1425.17273     686.7998     596.5004
   1425.15747     686.2328     598.6476   1425.15747     686.2328     598.6476
   1425.14221     687.1787     599.5413   1425.14221     687.1787     599.5413
   1425.12695     687.2806     601.0106   1425.12695     687.2806     601.0106
   1425.11169     688.3640     601.5741   1425.11169     688.3640     601.5741
   1425.09644     687.9246     603.1494   1425.09644     687.9246     603.1494
   1425.08118     688.9697     604.1359   1425.08118     688.9697     604.1359
   1425.06592     689.5988     606.9158   1425.06592     689.5988     606.9158
   1425.05066     689.0062     606.8614   1425.05066     689.0062     606.8614
   1425.03540     691.0168     608.7014   1425.03540     691.0168     608.7014
   1425.02014     690.7794     609.5259   1425.02014     690.7794     609.5259
   1425.00488     691.0660     611.4671   1425.00488     691.0660     611.4671
   1424.98962     693.0027     612.8967   1424.98962     693.0027     612.8967
   1424.97437     691.6345     613.1700   1424.97437     691.6345     613.1700
   1424.95911     692.0349     614.0053   1424.95911     692.0349     614.0053
   1424.94385     694.5070     614.7379   1424.94385     694.5070     614.7379
   1424.92859     692.9525     615.9356   1424.92859     692.9525     615.9356
   1424.91333     692.9816     616.1271   1424.91333     692.9816     616.1271
   1424.89807     693.7549     618.4262   1424.89807     693.7549     618.4262
   1424.88281     693.8976     618.2956   1424.88281     693.8976     618.2956
   1424.86755     693.5432     618.9547   1424.86755     693.5432     618.9547
   1424.85229     694.5488     620.3428   1424.85229     694.5488     620.3428
   1424.83704     695.1981     622.2655   1424.83704     695.1981     622.2655
   1424.82178     695.2535     623.2252   1424.82178     695.2535     623.2252
   1424.80652     696.5387     623.0286   1424.80652     696.5387     623.0286
   1424.79126     694.4597     624.2555   1424.79126     694.4597     624.2555
   1424.77600     695.7179     624.6402   1424.77600     695.7179     624.6402
   1424.76074     696.0454     625.2466   1424.76074     696.0454     625.2466
   1424.74548     695.2579     625.7325   1424.74548     695.2579     625.7325
   1424.73022     695.5482     626.8578   1424.73022     695.5482     626.8578
   1424.71497     696.3389     628.8417   1424.71497     696.3389     628.8417
   1424.69971     696.2418     628.2582   1424.69971     696.2418     628.2582
   1424.68445     697.3490     629.2758   1424.68445     697.3490     629.2758
   1424.66919     697.1366     629.4210   1424.66919     697.1366     629.4210
   1424.65393     697.5065     631.1523   1424.65393     697.5065     631.1523
   1424.63867     696.3386     631.0731   1424.63867     696.3386     631.0731
   1424.62341     697.0909     631.3901   1424.62341     697.0909     631.3901
   1424.60815     696.5565     631.8877   1424.60815     696.5565     631.8877
   1424.59290     696.3481     633.2810   1424.59290     696.3481     633.2810
   1424.57764     696.8181     633.3417   1424.57764     696.8181     633.3417
   1424.56238     696.8105     634.4879   1424.56238     696.8105     634.4879
   1424.54712     696.7971     633.9812   1424.54712     696.7971     633.9812
   1424.53186     696.7722     634.4984   1424.53186     696.7722     634.4984
   1424.51660     696.7295     635.2084   1424.51660     696.7295     635.2084
   1424.50134     696.2350     635.9289   1424.50134     696.2350     635.9289
   1424.48608     697.0707     636.1841   1424.48608     697.0707     636.1841
   1424.47083     696.4291     636.6885   1424.47083     696.4291     636.6885
   1424.45557     696.7022     637.4675   1424.45557     696.7022     637.4675
   1424.44031     697.3872     637.2086   1424.44031     697.3872     637.2086
   1424.42505     695.8560     637.8875   1424.42505     695.8560     637.8875
   1424.40979     696.1921     639.4753   1424.40979     696.1921     639.4753
   1424.39453     695.5032     638.9788   1424.39453     695.5032     638.9788
   1424.37927     696.6845     638.7051   1424.37927     696.6845     638.7051
   1424.36401     697.1314     639.5489   1424.36401     697.1314     639.5489
   1424.34875     696.5323     639.0870   1424.34875     696.5323     639.0870
   1424.33350     695.7594     638.5068   1424.33350     695.7594     638.5068
   1424.31824     696.6935     640.1210   1424.31824     696.6935     640.1210
   1424.30298     695.0053     639.6652   1424.30298     695.0053     639.6652
   1424.28772     694.3962     639.5684   1424.28772     694.3962     639.5684
   1424.27246     694.7234     640.9897   1424.27246     694.7234     640.9897
   1424.25720     695.0948     640.4023   1424.25720     695.0948     640.4023
   1424.24194     693.2302     641.0185   1424.24194     693.2302     641.0185
   1424.22668     694.2020     641.3106   1424.22668     694.2020     641.3106
   1424.21143     694.7331     642.0297   1424.21143     694.7331     642.0297
   1424.19617     693.9474     641.6018   1424.19617     693.9474     641.6018
   1424.18091     694.3004     640.9101   1424.18091     694.3004     640.9101
   1424.16565     694.4401     641.3814   1424.16565     694.4401     641.3814
   1424.15039     692.7258     641.2568   1424.15039     692.7258     641.2568
   1424.13513     693.7063     641.4200   1424.13513     693.7063     641.4200
   1424.11987     692.5497     641.5154   1424.11987     692.5497     641.5154
   1424.10461     692.9808     641.5424   1424.10461     692.9808     641.5424
   1424.08936     691.1770     640.4401   1424.08936     691.1770     640.4401
   1424.07410     691.6290     641.0203   1424.07410     691.6290     641.0203
   1424.05884     692.3948     641.1646   1424.05884     692.3948     641.1646
   1424.04358     691.3961     641.7145   1424.04358     691.3961     641.7145
   1424.02832     692.2927     640.6647   1424.02832     692.2927     640.6647
   1424.01306     692.6343     641.7240   1424.01306     692.6343     641.7240
   1423.99780     690.9042     640.9083   1423.99780     690.9042     640.9083
   1423.98254     690.7095     641.4658   1423.98254     690.7095     641.4658
   1423.96729     690.9033     641.9007   1423.96729     690.9033     641.9007
   1423.95203     690.4774     640.8481   1423.95203     690.4774     640.8481
   1423.93677     689.3151     641.0086   1423.93677     689.3151     641.0086
   1423.92151     690.1827     641.2705   1423.92151     690.1827     641.2705
   1423.90625     690.5181     639.5049   1423.90625     690.5181     639.5049
   1423.89099     689.6914     640.7434   1423.89099     689.6914     640.7434
   1423.87573     690.2938     639.8643   1423.87573     690.2938     639.8643
   1423.86047     688.9781     639.7386   1423.86047     688.9781     639.7386
   1423.84521     688.2087     639.1217   1423.84521     688.2087     639.1217
   1423.82996     688.9580     638.5968   1423.82996     688.9580     638.5968
   1423.81470     687.8149     639.3546   1423.81470     687.8149     639.3546
   1423.79944     687.5955     639.7000   1423.79944     687.5955     639.7000
   1423.78418     688.6085     638.8728   1423.78418     688.6085     638.8728
   1423.76892     687.1557     638.1107   1423.76892     687.1557     638.1107
   1423.75366     688.2181     636.1981   1423.75366     688.2181     636.1981
   1423.73840     687.8541     636.8416   1423.73840     687.8541     636.8416
   1423.72314     686.6527     636.8448   1423.72314     686.6527     636.8448
   1423.70789     686.6078     636.4158   1423.70789     686.6078     636.4158
   1423.69263     686.3687     636.0363   1423.69263     686.3687     636.0363
   1423.67737     684.9464     635.3320   1423.67737     684.9464     635.3320
   1423.66211     686.0419     635.4397   1423.66211     686.0419     635.4397
   1423.64685     685.5551     635.3877   1423.64685     685.5551     635.3877
   1423.63159     685.1922     634.1259   1423.63159     685.1922     634.1259
   1423.61633     685.3343     634.4105   1423.61633     685.3343     634.4105
   1423.60107     684.5381     634.0397   1423.60107     684.5381     634.0397
   1423.58582     684.9865     633.0201   1423.58582     684.9865     633.0201
   1423.57056     684.4758     632.6713   1423.57056     684.4758     632.6713
   1423.55530     683.6044     630.3693   1423.55530     683.6044     630.3693
   1423.54004     682.9481     631.0641   1423.54004     682.9481     631.0641
   1423.52478     683.4539     630.3228   1423.52478     683.4539     630.3228
   1423.50952     682.2532     629.3671   1423.50952     682.2532     629.3671
   1423.49426     682.5403     630.2344   1423.49426     682.5403     630.2344
   1423.47900     683.2430     629.4249   1423.47900     683.2430     629.4249
   1423.46375     681.5472     628.7067   1423.46375     681.5472     628.7067
   1423.44849     681.5281     628.0169   1423.44849     681.5281     628.0169
   1423.43323     681.4640     628.3713   1423.43323     681.4640     628.3713
   1423.41797     681.5570     626.7271   1423.41797     681.5570     626.7271
   1423.40271     681.6699     625.6661   1423.40271     681.6699     625.6661
   1423.38745     681.4500     624.3918   1423.38745     681.4500     624.3918
   1423.37219     682.7451     624.1635   1423.37219     682.7451     624.1635
   1423.35693     681.3256     624.1949   1423.35693     681.3256     624.1949
   1423.34167     680.8342     622.9907   1423.34167     680.8342     622.9907
   1423.32642     679.7402     621.9666   1423.32642     679.7402     621.9666
   1423.31116     679.0366     621.5205   1423.31116     679.0366     621.5205
   1423.29590     679.7780     620.5342   1423.29590     679.7780     620.5342
   1423.28064     679.3250     620.0919   1423.28064     679.3250     620.0919
   1423.26538     679.4696     618.9974   1423.26538     679.4696     618.9974
   1423.25012     678.9294     618.9169   1423.25012     678.9294     618.9169
   1423.23486     679.2621     618.6048   1423.23486     679.2621     618.6048
   1423.21960     679.4389     617.3671   1423.21960     679.4389     617.3671
   1423.20435     677.9550     616.9174   1423.20435     677.9550     616.9174
   1423.18909     677.2323     615.9705   1423.18909     677.2323     615.9705
   1423.17383     678.3760     615.1910   1423.17383     678.3760     615.1910
   1423.15857     677.4521     613.2943   1423.15857     677.4521     613.2943
   1423.14331     677.1052     613.0393   1423.14331     677.1052     613.0393
   1423.12805     676.2660     613.0874   1423.12805     676.2660     613.0874
   1423.11279     677.2382     611.6611   1423.11279     677.2382     611.6611
   1423.09753     676.7808     611.0952   1423.09753     676.7808     611.0952
   1423.08228     676.2444     610.0583   1423.08228     676.2444     610.0583
   1423.06702     675.5736     608.7478   1423.06702     675.5736     608.7478
   1423.05176     675.5981     608.2689   1423.05176     675.5981     608.2689
   1423.03650     676.4420     606.4909   1423.03650     676.4420     606.4909
   1423.02124     675.2868     605.7164   1423.02124     675.2868     605.7164
   1423.00598     675.0948     607.0089   1423.00598     675.0948     607.0089
   1422.99072     675.3141     604.7708   1422.99072     675.3141     604.7708
   1422.97546     674.6070     604.1300   1422.97546     674.6070     604.1300
   1422.96021     675.0214     603.1790   1422.96021     675.0214     603.1790
   1422.94495     674.4337     602.8321   1422.94495     674.4337     602.8321
   1422.92969     673.2968     601.3075   1422.92969     673.2968     601.3075
   1422.91443     674.8187     599.6865   1422.91443     674.8187     599.6865
   1422.89917     673.3163     598.3396   1422.89917     673.3163     598.3396
   1422.88391     673.3787     598.2550   1422.88391     673.3787     598.2550
   1422.86865     672.9556     596.7493   1422.86865     672.9556     596.7493
   1422.85339     673.9484     596.5770   1422.85339     673.9484     596.5770
   1422.83813     674.1817     595.3843   1422.83813     674.1817     595.3843
   1422.82288     673.5281     593.5647   1422.82288     673.5281     593.5647
   1422.80762     672.5347     593.1458   1422.80762     672.5347     593.1458
   1422.79236     672.3684     591.9586   1422.79236     672.3684     591.9586
   1422.77710     671.6303     590.9048   1422.77710     671.6303     590.9048
   1422.76184     671.9389     590.0061   1422.76184     671.9389     590.0061
   1422.74658     671.3681     589.4506   1422.74658     671.3681     589.4506
   1422.73132     672.4399     587.3281   1422.73132     672.4399     587.3281
   1422.71606     671.3071     587.1658   1422.71606     671.3071     587.1658
   1422.70081     671.3427     585.6189   1422.70081     671.3427     585.6189
   1422.68555     671.9797     583.9385   1422.68555     671.9797     583.9385
   1422.67029     670.5693     582.6934   1422.67029     670.5693     582.6934
   1422.65503     671.0093     583.0017   1422.65503     671.0093     583.0017
   1422.63977     670.6293     581.8571   1422.63977     670.6293     581.8571
   1422.62451     669.2131     581.0231   1422.62451     669.2131     581.0231
   1422.60925     670.4999     578.3074   1422.60925     670.4999     578.3074
   1422.59399     670.0348     578.9609   1422.59399     670.0348     578.9609
   1422.57874     669.2942     576.9057   1422.57874     669.2942     576.9057
   1422.56348     668.7427     575.9017   1422.56348     668.7427     575.9017
   1422.54822     670.0911     575.1252   1422.54822     670.0911     575.1252
   1422.53296     667.9557     574.0598   1422.53296     667.9557     574.0598
   1422.51770     670.1005     573.1445   1422.51770     670.1005     573.1445
   1422.50244     667.5886     572.3478   1422.50244     667.5886     572.3478
   1422.48718     669.7193     570.4744   1422.48718     669.7193     570.4744
   1422.47192     668.6439     569.5424   1422.47192     668.6439     569.5424
   1422.45667     668.8329     568.3141   1422.45667     668.8329     568.3141
   1422.44141     669.0052     567.6449   1422.44141     669.0052     567.6449
   1422.42615     667.7206     566.7439   1422.42615     667.7206     566.7439
   1422.41089     667.7775     564.5321   1422.41089     667.7775     564.5321
   1422.39563     668.0229     563.8025   1422.39563     668.0229     563.8025
   1422.38037     668.0172     562.3022   1422.38037     668.0172     562.3022
   1422.36511     667.8387     560.9965   1422.36511     667.8387     560.9965
   1422.34985     667.1726     560.7568   1422.34985     667.1726     560.7568
   1422.33459     668.1594     558.8917   1422.33459     668.1594     558.8917
   1422.31934     666.9230     557.1072   1422.31934     666.9230     557.1072
   1422.30408     666.9451     557.2484   1422.30408     666.9451     557.2484
   1422.28882     666.2205     555.7927   1422.28882     666.2205     555.7927
   1422.27356     666.5146     555.1144   1422.27356     666.5146     555.1144
   1422.25830     666.4604     553.4676   1422.25830     666.4604     553.4676
   1422.24304     666.2062     552.6487   1422.24304     666.2062     552.6487
   1422.22778     666.2253     551.5432   1422.22778     666.2253     551.5432
   1422.21252     665.2938     550.1293   1422.21252     665.2938     550.1293
   1422.19727     666.1838     548.6241   1422.19727     666.1838     548.6241
   1422.18201     666.4591     548.0651   1422.18201     666.4591     548.0651
   1422.16675     665.4540     546.6068   1422.16675     665.4540     546.6068
   1422.15149     665.6456     545.2949   1422.15149     665.6456     545.2949
   1422.13623     666.0082     544.4951   1422.13623     666.0082     544.4951
   1422.12097     664.7223     543.5175   1422.12097     664.7223     543.5175
   1422.10571     664.3017     541.6090   1422.10571     664.3017     541.6090
   1422.09045     664.4130     540.1558   1422.09045     664.4130     540.1558
   1422.07520     664.0927     539.4366   1422.07520     664.0927     539.4366
   1422.05994     664.1009     538.6752   1422.05994     664.1009     538.6752
   1422.04468     663.6656     537.5179   1422.04468     663.6656     537.5179
   1422.02942     664.2745     535.7703   1422.02942     664.2745     535.7703
   1422.01416     663.7319     535.7061   1422.01416     663.7319     535.7061
   1421.99890     662.4749     533.6676   1421.99890     662.4749     533.6676
   1421.98364     662.4830     532.7322   1421.98364     662.4830     532.7322
   1421.96838     663.0821     531.0238   1421.96838     663.0821     531.0238
   1421.95312     661.9663     529.3761   1421.95312     661.9663     529.3761
   1421.93787     662.6256     528.5836   1421.93787     662.6256     528.5836
   1421.92261     661.9158     528.0382   1421.92261     661.9158     528.0382
   1421.90735     662.3196     526.4301   1421.90735     662.3196     526.4301
   1421.89209     662.4760     525.0970   1421.89209     662.4760     525.0970
   1421.87683     661.9250     524.0919   1421.87683     661.9250     524.0919
   1421.86157     660.6032     522.6411   1421.86157     660.6032     522.6411
   1421.84631     661.3018     522.0859   1421.84631     661.3018     522.0859
   1421.83105     660.5329     519.9990   1421.83105     660.5329     519.9990
   1421.81580     660.7035     519.5102   1421.81580     660.7035     519.5102
   1421.80054     661.5602     517.1096   1421.80054     661.5602     517.1096
   1421.78528     660.8326     516.8730   1421.78528     660.8326     516.8730
   1421.77002     659.3034     515.8290   1421.77002     659.3034     515.8290
   1421.75476     661.0383     513.6392   1421.75476     661.0383     513.6392
   1421.73950     658.9871     514.1644   1421.73950     658.9871     514.1644
   1421.72424     660.5207     512.5287   1421.72424     660.5207     512.5287
   1421.70898     659.5746     510.1351   1421.70898     659.5746     510.1351
   1421.69373     660.1734     509.8755   1421.69373     660.1734     509.8755
   1421.67847     658.9420     508.7377   1421.67847     658.9420     508.7377
   1421.66321     658.8715     507.7387   1421.66321     658.8715     507.7387
