#     FILENAME=!Skynet_57528_lach-cc-78_20515_20924.cyb.fits
#     BASENAME=Skynet_57528_lach-cc-78_20515_20924
#     SRC_NAME=lach-cc-78
#     OBSERVER=ccmadison16_9505
#     DATE_OBS=2016-05-20T15:57:37.430
#        OBSID=20515
#      SCANNUM=20924
#          MJD=57528.6661
#          UTC=57547
#     SCANTYPE=track
#     DATAMODE=HIRES
#     TUNEFREQ=1420.0000
# Actual_FREQ1=1420.0000
# Actual_FREQ2=1420.0000
#    LO1Tuning=6870.000
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#        NCHAN=1024 
#        FOCUS=37.0709
#           RA=20:29:38.24
#          DEC=39:03:17.53
#      RA(hrs)=20.494000
#     DEC(deg)=39.054900
#    AZIM(deg)=302.297
#    ELEV(deg)=22.470
#     IFattens=12.00, 10.00
#      WARNING=None
#    TCAL_XL1=7.9635
#    TCAL_YR1=9.1340
#    TCAL_XL2=7.9635
#    TCAL_YR2=9.1340
#     TRX_XL1=11.7060
#     TRX_YR1=11.7060
#     TRX_XL2=11.7060
#     TRX_YR2=11.7060
#        TAVE=1.0000
#Freq1(MHz)          XL1          YR1  Freq2(MHz)          XL2          YR2 

   1427.81250     363.9738     244.9362   1427.81250     363.9738     244.9362
   1427.79724     364.1852     245.1485   1427.79724     364.1852     245.1485
   1427.78198     365.1835     246.1309   1427.78198     365.1835     246.1309
   1427.76672     366.0207     246.4589   1427.76672     366.0207     246.4589
   1427.75146     366.4864     246.7243   1427.75146     366.4864     246.7243
   1427.73621     367.7397     247.4635   1427.73621     367.7397     247.4635
   1427.72095     367.9955     248.5479   1427.72095     367.9955     248.5479
   1427.70569     369.2721     249.3213   1427.70569     369.2721     249.3213
   1427.69043     369.9453     249.8296   1427.69043     369.9453     249.8296
   1427.67517     371.4112     250.5511   1427.67517     371.4112     250.5511
   1427.65991     371.9020     251.5115   1427.65991     371.9020     251.5115
   1427.64465     372.8356     252.3416   1427.64465     372.8356     252.3416
   1427.62939     374.8878     253.4044   1427.62939     374.8878     253.4044
   1427.61414     375.2955     254.6127   1427.61414     375.2955     254.6127
   1427.59888     376.2269     255.3549   1427.59888     376.2269     255.3549
   1427.58362     378.2192     256.5568   1427.58362     378.2192     256.5568
   1427.56836     379.2838     257.3126   1427.56836     379.2838     257.3126
   1427.55310     380.9598     258.4437   1427.55310     380.9598     258.4437
   1427.53784     382.6895     259.5634   1427.53784     382.6895     259.5634
   1427.52258     383.3984     260.8667   1427.52258     383.3984     260.8667
   1427.50732     385.2837     261.8397   1427.50732     385.2837     261.8397
   1427.49207     386.7197     262.9833   1427.49207     386.7197     262.9833
   1427.47681     387.7753     264.2947   1427.47681     387.7753     264.2947
   1427.46155     390.2167     265.6668   1427.46155     390.2167     265.6668
   1427.44629     391.2953     267.0305   1427.44629     391.2953     267.0305
   1427.43103     393.8455     268.3071   1427.43103     393.8455     268.3071
   1427.41577     395.2982     269.4635   1427.41577     395.2982     269.4635
   1427.40051     397.0967     271.3810   1427.40051     397.0967     271.3810
   1427.38525     398.8863     272.1806   1427.38525     398.8863     272.1806
   1427.37000     401.7954     273.7390   1427.37000     401.7954     273.7390
   1427.35474     403.1935     274.7729   1427.35474     403.1935     274.7729
   1427.33948     405.3920     276.5271   1427.33948     405.3920     276.5271
   1427.32422     406.9826     278.0497   1427.32422     406.9826     278.0497
   1427.30896     408.8154     279.5274   1427.30896     408.8154     279.5274
   1427.29370     411.5663     281.6003   1427.29370     411.5663     281.6003
   1427.27844     413.9936     282.8638   1427.27844     413.9936     282.8638
   1427.26318     416.3763     284.9448   1427.26318     416.3763     284.9448
   1427.24792     417.7934     286.1311   1427.24792     417.7934     286.1311
   1427.23267     420.4965     288.0297   1427.23267     420.4965     288.0297
   1427.21741     422.5572     289.8171   1427.21741     422.5572     289.8171
   1427.20215     425.1826     291.1045   1427.20215     425.1826     291.1045
   1427.18689     427.7604     292.8892   1427.18689     427.7604     292.8892
   1427.17163     429.8267     295.4189   1427.17163     429.8267     295.4189
   1427.15637     432.5620     296.6506   1427.15637     432.5620     296.6506
   1427.14111     434.3964     298.6998   1427.14111     434.3964     298.6998
   1427.12585     437.4793     300.4305   1427.12585     437.4793     300.4305
   1427.11060     439.5571     302.1599   1427.11060     439.5571     302.1599
   1427.09534     442.6232     303.9830   1427.09534     442.6232     303.9830
   1427.08008     445.3055     305.9022   1427.08008     445.3055     305.9022
   1427.06482     448.0055     307.4980   1427.06482     448.0055     307.4980
   1427.04956     451.0520     309.2754   1427.04956     451.0520     309.2754
   1427.03430     452.5725     311.4413   1427.03430     452.5725     311.4413
   1427.01904     455.6107     313.4481   1427.01904     455.6107     313.4481
   1427.00378     458.8782     315.7008   1427.00378     458.8782     315.7008
   1426.98853     460.5838     316.9825   1426.98853     460.5838     316.9825
   1426.97327     463.7557     319.2147   1426.97327     463.7557     319.2147
   1426.95801     466.9766     321.5099   1426.95801     466.9766     321.5099
   1426.94275     469.9139     323.4240   1426.94275     469.9139     323.4240
   1426.92749     472.6914     325.4865   1426.92749     472.6914     325.4865
   1426.91223     474.4632     327.1871   1426.91223     474.4632     327.1871
   1426.89697     478.3280     328.4609   1426.89697     478.3280     328.4609
   1426.88171     481.0203     331.1575   1426.88171     481.0203     331.1575
   1426.86646     484.3726     332.9776   1426.86646     484.3726     332.9776
   1426.85120     486.8000     335.6801   1426.85120     486.8000     335.6801
   1426.83594     488.7594     337.4406   1426.83594     488.7594     337.4406
   1426.82068     492.2404     339.2805   1426.82068     492.2404     339.2805
   1426.80542     495.8885     341.6852   1426.80542     495.8885     341.6852
   1426.79016     497.5573     344.2742   1426.79016     497.5573     344.2742
   1426.77490     500.5558     345.4234   1426.77490     500.5558     345.4234
   1426.75964     503.8961     346.9151   1426.75964     503.8961     346.9151
   1426.74438     507.1109     349.8752   1426.74438     507.1109     349.8752
   1426.72913     509.4980     352.0414   1426.72913     509.4980     352.0414
   1426.71387     512.6177     354.0347   1426.71387     512.6177     354.0347
   1426.69861     516.6099     355.9442   1426.69861     516.6099     355.9442
   1426.68335     518.4031     358.0785   1426.68335     518.4031     358.0785
   1426.66809     521.9660     359.5700   1426.66809     521.9660     359.5700
   1426.65283     524.6252     362.6477   1426.65283     524.6252     362.6477
   1426.63757     528.3454     363.6409   1426.63757     528.3454     363.6409
   1426.62231     530.4792     366.6452   1426.62231     530.4792     366.6452
   1426.60706     533.6812     367.5717   1426.60706     533.6812     367.5717
