#     FILENAME=!Skynet_57528_lach-hhg-139_20458_20963.cyb.fits
#     BASENAME=Skynet_57528_lach-hhg-139_20458_20963
#     SRC_NAME=lach-hhg-139
#     OBSERVER=hhgmadison16_9500
#     DATE_OBS=2016-05-20T17:15:32.370
#        OBSID=20458
#      SCANNUM=20963
#          MJD=57528.7202
#          UTC=62221
#     SCANTYPE=track
#     DATAMODE=HIRES
#     TUNEFREQ=1420.0000
# Actual_FREQ1=1420.0000
# Actual_FREQ2=1420.0000
#    LO1Tuning=6870.000
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#        NCHAN=1024 
#        FOCUS=37.0709
#           RA=03:00:33.02
#          DEC=58:47:01.53
#      RA(hrs)=3.009200
#     DEC(deg)=58.783800
#    AZIM(deg)=342.181
#    ELEV(deg)=68.000
#     IFattens=11.00, 10.00
#      WARNING=None
#    TCAL_XL1=7.9635
#    TCAL_YR1=9.1340
#    TCAL_XL2=7.9635
#    TCAL_YR2=9.1340
#     TRX_XL1=11.7060
#     TRX_YR1=11.7060
#     TRX_XL2=11.7060
#     TRX_YR2=11.7060
#        TAVE=1.0000
#Freq1(MHz)          XL1          YR1  Freq2(MHz)          XL2          YR2 

   1427.81250     301.2143     248.9699   1427.81250     301.2143     248.9699
   1427.79724     301.4239     249.8542   1427.79724     301.4239     249.8542
   1427.78198     301.8213     250.5803   1427.78198     301.8213     250.5803
   1427.76672     302.8390     252.1566   1427.76672     302.8390     252.1566
   1427.75146     303.5158     252.8016   1427.75146     303.5158     252.8016
   1427.73621     303.6171     253.9046   1427.73621     303.6171     253.9046
   1427.72095     304.9966     255.0746   1427.72095     304.9966     255.0746
   1427.70569     305.3952     256.1081   1427.70569     305.3952     256.1081
   1427.69043     306.4334     256.9819   1427.69043     306.4334     256.9819
   1427.67517     306.8427     258.6664   1427.67517     306.8427     258.6664
   1427.65991     308.1399     259.5345   1427.65991     308.1399     259.5345
   1427.64465     309.2161     260.9292   1427.64465     309.2161     260.9292
   1427.62939     310.2664     262.3082   1427.62939     310.2664     262.3082
   1427.61414     310.9888     263.5552   1427.61414     310.9888     263.5552
   1427.59888     312.4023     265.0009   1427.59888     312.4023     265.0009
   1427.58362     313.5299     266.6982   1427.58362     313.5299     266.6982
   1427.56836     313.7366     267.5909   1427.56836     313.7366     267.5909
   1427.55310     315.4555     269.2885   1427.55310     315.4555     269.2885
   1427.53784     317.4352     270.7100   1427.53784     317.4352     270.7100
   1427.52258     318.2715     271.6165   1427.52258     318.2715     271.6165
   1427.50732     319.3486     273.6947   1427.50732     319.3486     273.6947
   1427.49207     320.7537     275.5015   1427.49207     320.7537     275.5015
   1427.47681     322.3428     277.2440   1427.47681     322.3428     277.2440
   1427.46155     324.0085     278.7043   1427.46155     324.0085     278.7043
   1427.44629     325.3137     280.1767   1427.44629     325.3137     280.1767
   1427.43103     326.9961     282.0543   1427.43103     326.9961     282.0543
   1427.41577     328.4177     283.2435   1427.41577     328.4177     283.2435
   1427.40051     329.9131     285.0208   1427.40051     329.9131     285.0208
   1427.38525     331.3956     286.5706   1427.38525     331.3956     286.5706
   1427.37000     333.0641     288.8000   1427.37000     333.0641     288.8000
   1427.35474     335.2597     290.4828   1427.35474     335.2597     290.4828
   1427.33948     336.3312     291.9758   1427.33948     336.3312     291.9758
   1427.32422     337.8076     294.1348   1427.32422     337.8076     294.1348
   1427.30896     340.0569     295.7212   1427.30896     340.0569     295.7212
   1427.29370     342.2508     298.4185   1427.29370     342.2508     298.4185
   1427.27844     344.1511     299.8955   1427.27844     344.1511     299.8955
   1427.26318     345.4137     301.5790   1427.26318     345.4137     301.5790
   1427.24792     347.3708     303.1233   1427.24792     347.3708     303.1233
   1427.23267     349.7225     305.4928   1427.23267     349.7225     305.4928
   1427.21741     351.2541     307.3169   1427.21741     351.2541     307.3169
   1427.20215     353.6317     309.5006   1427.20215     353.6317     309.5006
   1427.18689     355.4575     311.1138   1427.18689     355.4575     311.1138
   1427.17163     357.4985     313.3081   1427.17163     357.4985     313.3081
   1427.15637     360.0994     314.8702   1427.15637     360.0994     314.8702
   1427.14111     361.6000     317.2014   1427.14111     361.6000     317.2014
   1427.12585     364.5998     319.0652   1427.12585     364.5998     319.0652
   1427.11060     366.1587     321.3773   1427.11060     366.1587     321.3773
   1427.09534     368.5788     323.7427   1427.09534     368.5788     323.7427
   1427.08008     371.3384     325.3702   1427.08008     371.3384     325.3702
   1427.06482     373.2789     327.4190   1427.06482     373.2789     327.4190
   1427.04956     374.9308     329.7947   1427.04956     374.9308     329.7947
   1427.03430     377.4427     331.3033   1427.03430     377.4427     331.3033
   1427.01904     380.0388     333.6848   1427.01904     380.0388     333.6848
   1427.00378     382.7411     336.0166   1427.00378     382.7411     336.0166
   1426.98853     385.0224     337.0434   1426.98853     385.0224     337.0434
   1426.97327     387.4094     339.9744   1426.97327     387.4094     339.9744
   1426.95801     388.6767     341.3969   1426.95801     388.6767     341.3969
   1426.94275     391.8320     343.6722   1426.94275     391.8320     343.6722
   1426.92749     394.6502     345.4493   1426.92749     394.6502     345.4493
   1426.91223     396.9690     348.3747   1426.91223     396.9690     348.3747
   1426.89697     398.2831     350.0009   1426.89697     398.2831     350.0009
   1426.88171     401.3880     352.1219   1426.88171     401.3880     352.1219
   1426.86646     403.8904     354.4315   1426.86646     403.8904     354.4315
   1426.85120     406.7406     355.8719   1426.85120     406.7406     355.8719
   1426.83594     408.7057     358.2025   1426.83594     408.7057     358.2025
   1426.82068     411.8609     360.3743   1426.82068     411.8609     360.3743
   1426.80542     414.0156     361.9816   1426.80542     414.0156     361.9816
   1426.79016     416.5562     364.6715   1426.79016     416.5562     364.6715
   1426.77490     418.6950     366.2060   1426.77490     418.6950     366.2060
   1426.75964     420.9143     368.2665   1426.75964     420.9143     368.2665
   1426.74438     423.6733     370.1651   1426.74438     423.6733     370.1651
   1426.72913     426.6631     371.7924   1426.72913     426.6631     371.7924
   1426.71387     429.1310     374.0038   1426.71387     429.1310     374.0038
   1426.69861     431.6838     376.2253   1426.69861     431.6838     376.2253
   1426.68335     434.3312     378.7858   1426.68335     434.3312     378.7858
   1426.66809     437.3396     380.5363   1426.66809     437.3396     380.5363
   1426.65283     439.3290     382.1368   1426.65283     439.3290     382.1368
   1426.63757     442.0121     384.1276   1426.63757     442.0121     384.1276
   1426.62231     444.4056     386.8838   1426.62231     444.4056     386.8838
   1426.60706     447.5926     387.8006   1426.60706     447.5926     387.8006
   1426.59180     449.6464     389.9731   1426.59180     449.6464     389.9731
   1426.57654     452.2650     391.6293   1426.57654     452.2650     391.6293
   1426.56128     455.2881     394.1051   1426.56128     455.2881     394.1051
   1426.54602     457.4670     395.5302   1426.54602     457.4670     395.5302
   1426.53076     460.1182     397.0985   1426.53076     460.1182     397.0985
   1426.51550     461.9852     398.8719   1426.51550     461.9852     398.8719
   1426.50024     465.2317     400.9796   1426.50024     465.2317     400.9796
   1426.48499     467.7420     402.7065   1426.48499     467.7420     402.7065
   1426.46973     471.3578     404.5210   1426.46973     471.3578     404.5210
   1426.45447     472.6812     406.2111   1426.45447     472.6812     406.2111
   1426.43921     474.9237     408.6422   1426.43921     474.9237     408.6422
   1426.42395     477.7007     409.8301   1426.42395     477.7007     409.8301
   1426.40869     480.1624     411.6327   1426.40869     480.1624     411.6327
   1426.39343     482.3774     413.4475   1426.39343     482.3774     413.4475
   1426.37817     485.4288     415.5314   1426.37817     485.4288     415.5314
   1426.36292     487.7739     416.6590   1426.36292     487.7739     416.6590
   1426.34766     490.5445     419.1693   1426.34766     490.5445     419.1693
   1426.33240     492.0377     420.5779   1426.33240     492.0377     420.5779
   1426.31714     495.5915     421.9957   1426.31714     495.5915     421.9957
   1426.30188     496.6933     422.4323   1426.30188     496.6933     422.4323
   1426.28662     499.9645     424.7552   1426.28662     499.9645     424.7552
   1426.27136     502.3547     426.0244   1426.27136     502.3547     426.0244
   1426.25610     504.6313     427.7412   1426.25610     504.6313     427.7412
   1426.24084     506.6264     429.9569   1426.24084     506.6264     429.9569
   1426.22559     510.0145     431.7709   1426.22559     510.0145     431.7709
   1426.21033     511.9151     432.8698   1426.21033     511.9151     432.8698
   1426.19507     513.6491     433.2196   1426.19507     513.6491     433.2196
   1426.17981     516.4153     435.6778   1426.17981     516.4153     435.6778
   1426.16455     518.2294     437.1266   1426.16455     518.2294     437.1266
   1426.14929     520.6039     438.3417   1426.14929     520.6039     438.3417
   1426.13403     523.5924     439.7805   1426.13403     523.5924     439.7805
   1426.11877     524.8818     440.9343   1426.11877     524.8818     440.9343
   1426.10352     527.9451     442.7107   1426.10352     527.9451     442.7107
   1426.08826     529.2986     443.9021   1426.08826     529.2986     443.9021
   1426.07300     531.2503     445.0705   1426.07300     531.2503     445.0705
   1426.05774     534.2421     446.4141   1426.05774     534.2421     446.4141
   1426.04248     535.7023     446.8544   1426.04248     535.7023     446.8544
   1426.02722     537.9174     449.7295   1426.02722     537.9174     449.7295
   1426.01196     540.9434     450.2540   1426.01196     540.9434     450.2540
   1425.99670     542.4056     450.7961   1425.99670     542.4056     450.7961
   1425.98145     545.0871     453.3133   1425.98145     545.0871     453.3133
   1425.96619     545.5944     453.7078   1425.96619     545.5944     453.7078
   1425.95093     547.5023     454.6189   1425.95093     547.5023     454.6189
   1425.93567     550.3275     456.0237   1425.93567     550.3275     456.0237
   1425.92041     552.3845     457.7294   1425.92041     552.3845     457.7294
   1425.90515     553.4484     459.0373   1425.90515     553.4484     459.0373
   1425.88989     555.3500     460.0341   1425.88989     555.3500     460.0341
   1425.87463     558.2134     461.4350   1425.87463     558.2134     461.4350
   1425.85938     559.7337     461.6470   1425.85938     559.7337     461.6470
   1425.84412     562.3221     462.8566   1425.84412     562.3221     462.8566
   1425.82886     562.8040     463.7015   1425.82886     562.8040     463.7015
   1425.81360     565.4510     464.7813   1425.81360     565.4510     464.7813
   1425.79834     567.7009     465.8040   1425.79834     567.7009     465.8040
   1425.78308     569.0104     467.2062   1425.78308     569.0104     467.2062
   1425.76782     569.8286     467.8745   1425.76782     569.8286     467.8745
   1425.75256     571.9957     468.6352   1425.75256     571.9957     468.6352
   1425.73730     573.2163     469.6243   1425.73730     573.2163     469.6243
   1425.72205     575.3458     469.8757   1425.72205     575.3458     469.8757
   1425.70679     576.8093     472.1734   1425.70679     576.8093     472.1734
   1425.69153     577.6115     472.2968   1425.69153     577.6115     472.2968
   1425.67627     580.7438     473.5674   1425.67627     580.7438     473.5674
   1425.66101     580.7452     474.2151   1425.66101     580.7452     474.2151
   1425.64575     583.2197     474.2679   1425.64575     583.2197     474.2679
   1425.63049     583.6801     475.7972   1425.63049     583.6801     475.7972
   1425.61523     585.2954     477.1438   1425.61523     585.2954     477.1438
   1425.59998     587.6766     477.4548   1425.59998     587.6766     477.4548
   1425.58472     588.3336     478.1517   1425.58472     588.3336     478.1517
   1425.56946     589.1575     478.9057   1425.56946     589.1575     478.9057
   1425.55420     591.4894     480.2538   1425.55420     591.4894     480.2538
   1425.53894     592.2727     479.8621   1425.53894     592.2727     479.8621
   1425.52368     593.3523     481.1133   1425.52368     593.3523     481.1133
   1425.50842     593.8623     481.5388   1425.50842     593.8623     481.5388
   1425.49316     595.3700     481.6017   1425.49316     595.3700     481.6017
   1425.47791     596.4026     483.2224   1425.47791     596.4026     483.2224
   1425.46265     599.0504     482.7054   1425.46265     599.0504     482.7054
   1425.44739     598.9785     484.0798   1425.44739     598.9785     484.0798
   1425.43213     600.9868     485.1024   1425.43213     600.9868     485.1024
   1425.41687     601.9305     485.7715   1425.41687     601.9305     485.7715
   1425.40161     603.4263     486.7058   1425.40161     603.4263     486.7058
   1425.38635     603.9988     486.7612   1425.38635     603.9988     486.7612
   1425.37109     604.5729     488.0721   1425.37109     604.5729     488.0721
   1425.35583     605.0421     487.4861   1425.35583     605.0421     487.4861
   1425.34058     606.1446     488.5563   1425.34058     606.1446     488.5563
   1425.32532     606.9767     489.5180   1425.32532     606.9767     489.5180
   1425.31006     608.3839     489.8780   1425.31006     608.3839     489.8780
   1425.29480     610.0660     490.1835   1425.29480     610.0660     490.1835
   1425.27954     608.9442     490.6959   1425.27954     608.9442     490.6959
   1425.26428     610.8970     490.3402   1425.26428     610.8970     490.3402
   1425.24902     610.6890     491.4193   1425.24902     610.6890     491.4193
   1425.23376     612.8105     491.8934   1425.23376     612.8105     491.8934
   1425.21851     613.1988     492.6089   1425.21851     613.1988     492.6089
   1425.20325     614.4747     493.8314   1425.20325     614.4747     493.8314
   1425.18799     614.7226     492.8299   1425.18799     614.7226     492.8299
   1425.17273     614.7579     494.0677   1425.17273     614.7579     494.0677
   1425.15747     615.3578     493.6961   1425.15747     615.3578     493.6961
   1425.14221     616.6735     494.4711   1425.14221     616.6735     494.4711
   1425.12695     617.7292     495.8770   1425.12695     617.7292     495.8770
   1425.11169     616.8228     495.5827   1425.11169     616.8228     495.5827
   1425.09644     618.6498     495.5569   1425.09644     618.6498     495.5569
