#     FILENAME=!Skynet_57533_lach-hhg-196-2_20799_21207.cyb.fits
#     BASENAME=Skynet_57533_lach-hhg-196-2_20799_21207
#     SRC_NAME=lach-hhg-196-2
#     OBSERVER=ccmadison16_9505
#     DATE_OBS=2016-05-25T18:31:46.370
#        OBSID=20799
#      SCANNUM=21207
#          MJD=57533.7731
#          UTC=66796
#     SCANTYPE=track
#     DATAMODE=HIRES
#     TUNEFREQ=1420.0000
# Actual_FREQ1=1420.0000
# Actual_FREQ2=1420.0000
#    LO1Tuning=6870.000
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#        NCHAN=1024 
#        FOCUS=37.0709
#           RA=06:19:46.17
#          DEC=15:01:17.29
#      RA(hrs)=6.329500
#     DEC(deg)=15.021500
#    AZIM(deg)=149.281
#    ELEV(deg)=63.678
#     IFattens=10.00, 9.00
#      WARNING=None
#    TCAL_XL1=7.9635
#    TCAL_YR1=9.1340
#    TCAL_XL2=7.9635
#    TCAL_YR2=9.1340
#     TRX_XL1=11.7060
#     TRX_YR1=11.7060
#     TRX_XL2=11.7060
#     TRX_YR2=11.7060
#        TAVE=1.0000
#Freq1(MHz)          XL1          YR1  Freq2(MHz)          XL2          YR2 

   1427.81250     368.3166     262.7533   1427.81250     368.3166     262.7533
   1427.79724     368.9514     263.9308   1427.79724     368.9514     263.9308
   1427.78198     369.3715     264.9727   1427.78198     369.3715     264.9727
   1427.76672     370.8067     265.6757   1427.76672     370.8067     265.6757
   1427.75146     370.6243     266.4895   1427.75146     370.6243     266.4895
   1427.73621     371.5642     267.8605   1427.73621     371.5642     267.8605
   1427.72095     372.7737     268.8699   1427.72095     372.7737     268.8699
   1427.70569     373.3406     270.1891   1427.70569     373.3406     270.1891
   1427.69043     374.4853     271.6286   1427.69043     374.4853     271.6286
   1427.67517     375.0739     272.0865   1427.67517     375.0739     272.0865
   1427.65991     376.0034     273.6470   1427.65991     376.0034     273.6470
   1427.64465     377.1386     274.9009   1427.64465     377.1386     274.9009
   1427.62939     378.2943     275.6990   1427.62939     378.2943     275.6990
   1427.61414     379.4844     277.3532   1427.61414     379.4844     277.3532
   1427.59888     380.9695     278.0823   1427.59888     380.9695     278.0823
   1427.58362     382.5605     280.1392   1427.58362     382.5605     280.1392
   1427.56836     383.6844     281.1984   1427.56836     383.6844     281.1984
   1427.55310     384.8233     282.8263   1427.55310     384.8233     282.8263
   1427.53784     386.0052     284.4249   1427.53784     386.0052     284.4249
   1427.52258     387.3500     285.1184   1427.52258     387.3500     285.1184
   1427.50732     389.7923     287.3778   1427.50732     389.7923     287.3778
   1427.49207     391.0633     288.7082   1427.49207     391.0633     288.7082
