#     FILENAME=!Skynet_57533_lach-hhg-246-2_20811_21215.cyb.fits
#     BASENAME=Skynet_57533_lach-hhg-246-2_20811_21215
#     SRC_NAME=lach-hhg-246-2
#     OBSERVER=ccmadison16_9505
#     DATE_OBS=2016-05-25T19:44:40.810
#        OBSID=20811
#      SCANNUM=21215
#          MJD=57533.8237
#          UTC=71169
#     SCANTYPE=track
#     DATAMODE=HIRES
#     TUNEFREQ=1420.0000
# Actual_FREQ1=1420.0000
# Actual_FREQ2=1420.0000
#    LO1Tuning=6870.000
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#        NCHAN=1024 
#        FOCUS=37.0270
#           RA=07:57:34.49
#          DEC=-29:03:07.80
#      RA(hrs)=7.959600
#     DEC(deg)=-29.052200
#    AZIM(deg)=161.485
#    ELEV(deg)=19.926
#     IFattens=10.00, 9.00
#      WARNING=None
#    TCAL_XL1=7.9635
#    TCAL_YR1=9.1340
#    TCAL_XL2=7.9635
#    TCAL_YR2=9.1340
#     TRX_XL1=11.7060
#     TRX_YR1=11.7060
#     TRX_XL2=11.7060
#     TRX_YR2=11.7060
#        TAVE=1.0000
#Freq1(MHz)          XL1          YR1  Freq2(MHz)          XL2          YR2 

   1427.81250     377.5484     244.7299   1427.81250     377.5484     244.7299
   1427.79724     378.3760     244.9120   1427.79724     378.3760     244.9120
   1427.78198     378.9963     246.0253   1427.78198     378.9963     246.0253
   1427.76672     380.3760     246.5565   1427.76672     380.3760     246.5565
   1427.75146     381.3482     246.9990   1427.75146     381.3482     246.9990
   1427.73621     381.7603     247.5131   1427.73621     381.7603     247.5131
   1427.72095     382.9148     248.0671   1427.72095     382.9148     248.0671
   1427.70569     383.7365     249.0764   1427.70569     383.7365     249.0764
   1427.69043     385.5589     249.8171   1427.69043     385.5589     249.8171
   1427.67517     386.0193     250.7576   1427.67517     386.0193     250.7576
   1427.65991     387.5090     251.7145   1427.65991     387.5090     251.7145
   1427.64465     388.7751     252.3972   1427.64465     388.7751     252.3972
   1427.62939     390.5280     253.5822   1427.62939     390.5280     253.5822
   1427.61414     391.2361     254.6534   1427.61414     391.2361     254.6534
   1427.59888     393.9435     255.3184   1427.59888     393.9435     255.3184
   1427.58362     394.4844     256.7499   1427.58362     394.4844     256.7499
   1427.56836     396.2398     258.0235   1427.56836     396.2398     258.0235
   1427.55310     397.7614     259.1095   1427.55310     397.7614     259.1095
