#     FILENAME=!Skynet_57535_lach-hhg-248-2_20901_21314.cyb.fits
#     BASENAME=Skynet_57535_lach-hhg-248-2_20901_21314
#     SRC_NAME=lach-hhg-248-2
#     OBSERVER=hhgmadison16_9500
#     DATE_OBS=2016-05-27T21:34:03.620
#        OBSID=20901
#      SCANNUM=21314
#          MJD=57535.8997
#          UTC=77733
#     SCANTYPE=track
#     DATAMODE=HIRES
#     TUNEFREQ=1420.0000
# Actual_FREQ1=1420.0000
# Actual_FREQ2=1420.0000
#    LO1Tuning=6870.000
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#        NCHAN=1024 
#        FOCUS=37.0709
#           RA=08:02:27.81
#          DEC=-30:45:14.53
#      RA(hrs)=8.041100
#     DEC(deg)=-30.754000
#    AZIM(deg)=187.508
#    ELEV(deg)=20.137
#     IFattens=10.00, 9.00
#      WARNING=None
#    TCAL_XL1=7.9635
#    TCAL_YR1=9.1340
#    TCAL_XL2=7.9635
#    TCAL_YR2=9.1340
#     TRX_XL1=11.7060
#     TRX_YR1=11.7060
#     TRX_XL2=11.7060
#     TRX_YR2=11.7060
#        TAVE=1.0000
#Freq1(MHz)          XL1          YR1  Freq2(MHz)          XL2          YR2 

   1427.81250     385.8387     244.4287   1427.81250     385.8387     244.4287
   1427.79724     386.2107     244.4772   1427.79724     386.2107     244.4772
   1427.78198     387.8805     245.1375   1427.78198     387.8805     245.1375
   1427.76672     388.2571     245.0286   1427.76672     388.2571     245.0286
   1427.75146     388.8214     245.8257   1427.75146     388.8214     245.8257
   1427.73621     390.2911     246.2122   1427.73621     390.2911     246.2122
   1427.72095     391.8400     246.5513   1427.72095     391.8400     246.5513
   1427.70569     392.2101     247.1202   1427.70569     392.2101     247.1202
   1427.69043     392.8611     248.1363   1427.69043     392.8611     248.1363
   1427.67517     394.2534     248.4865   1427.67517     394.2534     248.4865
   1427.65991     395.8819     248.8100   1427.65991     395.8819     248.8100
   1427.64465     395.9977     249.4896   1427.64465     395.9977     249.4896
   1427.62939     397.7635     250.1951   1427.62939     397.7635     250.1951
   1427.61414     398.8877     251.0635   1427.61414     398.8877     251.0635
   1427.59888     400.1488     251.6254   1427.59888     400.1488     251.6254
   1427.58362     401.9318     252.3175   1427.58362     401.9318     252.3175
   1427.56836     403.4700     253.3309   1427.56836     403.4700     253.3309
   1427.55310     404.8035     254.4107   1427.55310     404.8035     254.4107
   1427.53784     407.0446     255.1546   1427.53784     407.0446     255.1546
   1427.52258     407.6928     256.0400   1427.52258     407.6928     256.0400
   1427.50732     409.1858     256.8427   1427.50732     409.1858     256.8427
   1427.49207     411.4594     258.0848   1427.49207     411.4594     258.0848
   1427.47681     412.7016     258.9945   1427.47681     412.7016     258.9945
   1427.46155     414.9821     260.3201   1427.46155     414.9821     260.3201
   1427.44629     417.0057     261.1114   1427.44629     417.0057     261.1114
   1427.43103     418.5491     262.5777   1427.43103     418.5491     262.5777
   1427.41577     420.4474     263.3583   1427.41577     420.4474     263.3583
