#     FILENAME=!Skynet_57528_lachhhg94_20328_20901.cyb.fits
#     BASENAME=Skynet_57528_lachhhg94_20328_20901
#     SRC_NAME=lachhhg94
#     OBSERVER=hhgmadison16_9500
#     DATE_OBS=2016-05-20T15:11:43.930
#        OBSID=20328
#      SCANNUM=20901
#          MJD=57528.6342
#          UTC=54792
#     SCANTYPE=track
#     DATAMODE=HIRES
#     TUNEFREQ=1420.0000
# Actual_FREQ1=1420.0000
# Actual_FREQ2=1420.0000
#    LO1Tuning=6870.000
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#        NCHAN=1024 
#        FOCUS=37.0709
#           RA=21:29:28.41
#          DEC=51:09:39.64
#      RA(hrs)=21.491200
#     DEC(deg)=51.161000
#    AZIM(deg)=307.533
#    ELEV(deg)=44.096
#     IFattens=11.00, 10.00
#      WARNING=None
#    TCAL_XL1=7.9635
#    TCAL_YR1=9.1340
#    TCAL_XL2=7.9635
#    TCAL_YR2=9.1340
#     TRX_XL1=11.7060
#     TRX_YR1=11.7060
#     TRX_XL2=11.7060
#     TRX_YR2=11.7060
#        TAVE=1.0000
#Freq1(MHz)          XL1          YR1  Freq2(MHz)          XL2          YR2 

   1427.81250     301.0366     241.0273   1427.81250     301.0366     241.0273
   1427.79724     301.7840     241.7422   1427.79724     301.7840     241.7422
   1427.78198     302.2885     242.2603   1427.78198     302.2885     242.2603
   1427.76672     302.7343     243.1628   1427.76672     302.7343     243.1628
   1427.75146     303.5571     244.0829   1427.75146     303.5571     244.0829
   1427.73621     304.1092     244.3161   1427.73621     304.1092     244.3161
   1427.72095     304.5253     244.9095   1427.72095     304.5253     244.9095
   1427.70569     305.3132     245.6717   1427.70569     305.3132     245.6717
   1427.69043     305.8458     246.5709   1427.69043     305.8458     246.5709
   1427.67517     307.4803     247.2945   1427.67517     307.4803     247.2945
   1427.65991     308.6652     248.0137   1427.65991     308.6652     248.0137
   1427.64465     308.9055     249.4390   1427.64465     308.9055     249.4390
   1427.62939     310.3208     250.7541   1427.62939     310.3208     250.7541
   1427.61414     311.4056     251.1508   1427.61414     311.4056     251.1508
   1427.59888     312.3221     252.2630   1427.59888     312.3221     252.2630
   1427.58362     313.4540     253.3156   1427.58362     313.4540     253.3156
   1427.56836     314.8259     254.6955   1427.56836     314.8259     254.6955
   1427.55310     315.7475     255.5358   1427.55310     315.7475     255.5358
   1427.53784     317.7212     256.2713   1427.53784     317.7212     256.2713
   1427.52258     318.3599     257.5458   1427.52258     318.3599     257.5458
   1427.50732     320.2614     258.9622   1427.50732     320.2614     258.9622
   1427.49207     321.2563     260.0624   1427.49207     321.2563     260.0624
   1427.47681     322.3553     261.0623   1427.47681     322.3553     261.0623
   1427.46155     324.0035     262.6710   1427.46155     324.0035     262.6710
   1427.44629     325.6087     263.4955   1427.44629     325.6087     263.4955
   1427.43103     326.8937     264.8663   1427.43103     326.8937     264.8663
   1427.41577     329.1506     266.6209   1427.41577     329.1506     266.6209
   1427.40051     330.5608     268.0075   1427.40051     330.5608     268.0075
   1427.38525     332.6083     268.9979   1427.38525     332.6083     268.9979
   1427.37000     333.9278     270.4554   1427.37000     333.9278     270.4554
   1427.35474     335.8043     271.5761   1427.35474     335.8043     271.5761
   1427.33948     337.3465     273.2138   1427.33948     337.3465     273.2138
   1427.32422     339.4202     274.5042   1427.32422     339.4202     274.5042
   1427.30896     340.5903     276.0692   1427.30896     340.5903     276.0692
   1427.29370     343.2699     277.3883   1427.29370     343.2699     277.3883
   1427.27844     344.5433     278.9016   1427.27844     344.5433     278.9016
   1427.26318     346.9831     280.7419   1427.26318     346.9831     280.7419
   1427.24792     348.9897     282.5580   1427.24792     348.9897     282.5580
   1427.23267     350.1891     283.3373   1427.23267     350.1891     283.3373
   1427.21741     352.1823     285.7584   1427.21741     352.1823     285.7584
   1427.20215     354.4461     286.8109   1427.20215     354.4461     286.8109
   1427.18689     356.7183     288.8607   1427.18689     356.7183     288.8607
   1427.17163     358.5615     289.6270   1427.17163     358.5615     289.6270
   1427.15637     360.8849     291.8383   1427.15637     360.8849     291.8383
   1427.14111     362.5708     293.8855   1427.14111     362.5708     293.8855
   1427.12585     365.1196     295.0231   1427.12585     365.1196     295.0231
   1427.11060     367.4164     296.8741   1427.11060     367.4164     296.8741
   1427.09534     369.8267     298.2887   1427.09534     369.8267     298.2887
   1427.08008     371.3886     300.7733   1427.08008     371.3886     300.7733
   1427.06482     373.7747     302.1234   1427.06482     373.7747     302.1234
   1427.04956     376.8617     304.1790   1427.04956     376.8617     304.1790
   1427.03430     378.5490     305.8087   1427.03430     378.5490     305.8087
   1427.01904     381.0140     307.1890   1427.01904     381.0140     307.1890
   1427.00378     382.9556     308.9556   1427.00378     382.9556     308.9556
   1426.98853     385.2974     310.9909   1426.98853     385.2974     310.9909
   1426.97327     387.5496     312.8272   1426.97327     387.5496     312.8272
   1426.95801     390.2396     314.6689   1426.95801     390.2396     314.6689
   1426.94275     393.0967     316.1861   1426.94275     393.0967     316.1861
   1426.92749     395.2461     317.8391   1426.92749     395.2461     317.8391
   1426.91223     397.2236     319.8203   1426.91223     397.2236     319.8203
   1426.89697     399.4821     321.2008   1426.89697     399.4821     321.2008
   1426.88171     402.3683     323.8391   1426.88171     402.3683     323.8391
   1426.86646     404.8925     325.3665   1426.86646     404.8925     325.3665
   1426.85120     406.9539     326.9801   1426.85120     406.9539     326.9801
   1426.83594     409.8781     329.8077   1426.83594     409.8781     329.8077
   1426.82068     411.4485     331.2077   1426.82068     411.4485     331.2077
   1426.80542     414.7778     332.9243   1426.80542     414.7778     332.9243
   1426.79016     417.4792     335.1163   1426.79016     417.4792     335.1163
   1426.77490     419.6976     336.7454   1426.77490     419.6976     336.7454
   1426.75964     421.5259     338.4857   1426.75964     421.5259     338.4857
   1426.74438     424.6010     340.2545   1426.74438     424.6010     340.2545
   1426.72913     426.8477     342.1025   1426.72913     426.8477     342.1025
   1426.71387     430.1228     344.0163   1426.71387     430.1228     344.0163
   1426.69861     432.4688     346.0196   1426.69861     432.4688     346.0196
   1426.68335     434.9604     348.5689   1426.68335     434.9604     348.5689
   1426.66809     436.4420     349.5379   1426.66809     436.4420     349.5379
   1426.65283     438.8198     351.6009   1426.65283     438.8198     351.6009
   1426.63757     442.4910     353.6558   1426.63757     442.4910     353.6558
   1426.62231     447.3151     357.2598   1426.62231     447.3151     357.2598
   1426.60706     447.3947     357.0946   1426.60706     447.3947     357.0946
   1426.59180     449.4019     359.0521   1426.59180     449.4019     359.0521
   1426.57654     452.2729     361.8475   1426.57654     452.2729     361.8475
   1426.56128     454.0876     362.7747   1426.56128     454.0876     362.7747
   1426.54602     456.9729     364.5793   1426.54602     456.9729     364.5793
   1426.53076     459.2791     366.7015   1426.53076     459.2791     366.7015
   1426.51550     461.6796     368.5802   1426.51550     461.6796     368.5802
   1426.50024     464.3734     370.3391   1426.50024     464.3734     370.3391
   1426.48499     467.4386     371.6953   1426.48499     467.4386     371.6953
   1426.46973     469.8187     373.9620   1426.46973     469.8187     373.9620
   1426.45447     471.9289     374.7110   1426.45447     471.9289     374.7110
   1426.43921     474.0916     377.9468   1426.43921     474.0916     377.9468
   1426.42395     476.9961     378.9314   1426.42395     476.9961     378.9314
   1426.40869     478.5540     381.3502   1426.40869     478.5540     381.3502
   1426.39343     481.5924     382.7721   1426.39343     481.5924     382.7721
   1426.37817     484.2165     384.7578   1426.37817     484.2165     384.7578
   1426.36292     486.2776     386.3585   1426.36292     486.2776     386.3585
   1426.34766     488.4975     388.1304   1426.34766     488.4975     388.1304
   1426.33240     490.9378     389.9853   1426.33240     490.9378     389.9853
   1426.31714     493.0419     391.3969   1426.31714     493.0419     391.3969
   1426.30188     495.4138     392.9622   1426.30188     495.4138     392.9622
   1426.28662     497.7138     395.5620   1426.28662     497.7138     395.5620
   1426.27136     500.1464     396.2346   1426.27136     500.1464     396.2346
   1426.25610     502.3810     398.3909   1426.25610     502.3810     398.3909
   1426.24084     504.3748     399.6161   1426.24084     504.3748     399.6161
   1426.22559     507.4189     401.3369   1426.22559     507.4189     401.3369
   1426.21033     509.0572     403.2319   1426.21033     509.0572     403.2319
   1426.19507     510.6733     404.9365   1426.19507     510.6733     404.9365
   1426.17981     513.7923     406.0918   1426.17981     513.7923     406.0918
   1426.16455     515.0737     407.7623   1426.16455     515.0737     407.7623
   1426.14929     517.6449     409.4752   1426.14929     517.6449     409.4752
   1426.13403     519.4930     411.6949   1426.13403     519.4930     411.6949
   1426.11877     521.5988     412.5551   1426.11877     521.5988     412.5551
   1426.10352     523.9488     413.8115   1426.10352     523.9488     413.8115
   1426.08826     525.8935     415.6583   1426.08826     525.8935     415.6583
   1426.07300     527.9688     417.3955   1426.07300     527.9688     417.3955
   1426.05774     529.3723     418.3654   1426.05774     529.3723     418.3654
   1426.04248     531.3099     420.5099   1426.04248     531.3099     420.5099
   1426.02722     534.4217     421.3436   1426.02722     534.4217     421.3436
   1426.01196     535.5763     422.9286   1426.01196     535.5763     422.9286
   1425.99670     538.2612     424.0804   1425.99670     538.2612     424.0804
   1425.98145     539.2091     425.9365   1425.98145     539.2091     425.9365
   1425.96619     541.8579     428.0796   1425.96619     541.8579     428.0796
   1425.95093     542.4660     428.6147   1425.95093     542.4660     428.6147
   1425.93567     544.9694     430.4666   1425.93567     544.9694     430.4666
   1425.92041     547.2581     431.6748   1425.92041     547.2581     431.6748
   1425.90515     549.7094     433.2628   1425.90515     549.7094     433.2628
   1425.88989     550.4723     434.1724   1425.88989     550.4723     434.1724
   1425.87463     552.7280     436.1783   1425.87463     552.7280     436.1783
   1425.85938     553.8581     437.3856   1425.85938     553.8581     437.3856
   1425.84412     555.4243     439.0489   1425.84412     555.4243     439.0489
   1425.82886     556.8519     440.6127   1425.82886     556.8519     440.6127
   1425.81360     558.8051     440.8907   1425.81360     558.8051     440.8907
   1425.79834     561.0094     442.9320   1425.79834     561.0094     442.9320
   1425.78308     562.1464     444.2363   1425.78308     562.1464     444.2363
   1425.76782     562.8428     445.1592   1425.76782     562.8428     445.1592
   1425.75256     565.2012     446.0296   1425.75256     565.2012     446.0296
   1425.73730     566.6783     447.2037   1425.73730     566.6783     447.2037
   1425.72205     567.5626     448.6089   1425.72205     567.5626     448.6089
   1425.70679     569.6318     450.1818   1425.70679     569.6318     450.1818
   1425.69153     570.5660     450.8152   1425.69153     570.5660     450.8152
   1425.67627     572.3943     451.7725   1425.67627     572.3943     451.7725
   1425.66101     573.4772     453.8014   1425.66101     573.4772     453.8014
   1425.64575     573.9191     455.6788   1425.64575     573.9191     455.6788
   1425.63049     576.7626     455.3260   1425.63049     576.7626     455.3260
   1425.61523     577.6753     456.5408   1425.61523     577.6753     456.5408
   1425.59998     578.1595     458.5845   1425.59998     578.1595     458.5845
   1425.58472     579.3860     459.7648   1425.58472     579.3860     459.7648
   1425.56946     580.2412     460.9710   1425.56946     580.2412     460.9710
   1425.55420     582.4346     461.7006   1425.55420     582.4346     461.7006
   1425.53894     582.4854     462.8837   1425.53894     582.4854     462.8837
   1425.52368     584.8091     463.6117   1425.52368     584.8091     463.6117
   1425.50842     585.4984     464.9146   1425.50842     585.4984     464.9146
   1425.49316     586.0689     465.7553   1425.49316     586.0689     465.7553
   1425.47791     587.9420     467.6003   1425.47791     587.9420     467.6003
   1425.46265     587.9277     467.5742   1425.46265     587.9277     467.5742
   1425.44739     589.1342     469.7210   1425.44739     589.1342     469.7210
   1425.43213     589.9973     470.4160   1425.43213     589.9973     470.4160
   1425.41687     591.9352     471.0999   1425.41687     591.9352     471.0999
   1425.40161     592.5778     472.1290   1425.40161     592.5778     472.1290
   1425.38635     593.9248     472.7263   1425.38635     593.9248     472.7263
   1425.37109     593.9510     474.8688   1425.37109     593.9510     474.8688
   1425.35583     595.0426     475.1245   1425.35583     595.0426     475.1245
   1425.34058     595.0008     476.1302   1425.34058     595.0008     476.1302
   1425.32532     596.0366     477.3653   1425.32532     596.0366     477.3653
   1425.31006     596.8580     477.7783   1425.31006     596.8580     477.7783
   1425.29480     597.8120     478.9684   1425.29480     597.8120     478.9684
   1425.27954     598.3973     479.8892   1425.27954     598.3973     479.8892
   1425.26428     598.7193     480.4876   1425.26428     598.7193     480.4876
   1425.24902     600.6461     481.5414   1425.24902     600.6461     481.5414
   1425.23376     601.2617     482.3599   1425.23376     601.2617     482.3599
   1425.21851     601.8782     483.6609   1425.21851     601.8782     483.6609
   1425.20325     601.6000     484.3242   1425.20325     601.6000     484.3242
   1425.18799     602.7487     485.4400   1425.18799     602.7487     485.4400
   1425.17273     604.2092     486.5766   1425.17273     604.2092     486.5766
   1425.15747     604.0380     487.5409   1425.15747     604.0380     487.5409
   1425.14221     604.3295     487.3474   1425.14221     604.3295     487.3474
   1425.12695     604.3387     488.4607   1425.12695     604.3387     488.4607
   1425.11169     604.9874     488.9987   1425.11169     604.9874     488.9987
   1425.09644     605.1837     489.8038   1425.09644     605.1837     489.8038
   1425.08118     605.8319     491.1950   1425.08118     605.8319     491.1950
   1425.06592     606.3528     491.4937   1425.06592     606.3528     491.4937
   1425.05066     606.5573     492.0022   1425.05066     606.5573     492.0022
   1425.03540     607.4641     492.7142   1425.03540     607.4641     492.7142
   1425.02014     607.5704     493.9176   1425.02014     607.5704     493.9176
   1425.00488     607.9024     494.6776   1425.00488     607.9024     494.6776
   1424.98962     608.6221     496.1035   1424.98962     608.6221     496.1035
   1424.97437     608.1173     496.0661   1424.97437     608.1173     496.0661
   1424.95911     608.6915     497.2901   1424.95911     608.6915     497.2901
   1424.94385     609.1968     498.8916   1424.94385     609.1968     498.8916
   1424.92859     608.6712     498.7402   1424.92859     608.6712     498.7402
